ID,UnitID,OrgID,SiteID,SampleType,FeatureID,ShapeType,SherdNumber,Weight,SherdSize,VesselPartition,VesselFunctional,VesselBaseType,HandleNumber,TypeLip,TypeRim,TypeNeck,TypeNeckShoulder,TypeBodyUpper,TypeBodyTransition,TypeBodyLower,TypeBaseExterior,TypeBaseInterior,ThicknessLip,ThicknessRim,ThicknessNeck,ThicknessNeckShoulder,ThicknessBodyUpper,ThicknessBodyTransition,ThicknessLowerBody,ThicknessBaseExterior,R1,H1,H3,H4,H6,R2,R3,R4,R5,HandleForm,HandleThickness,Decorated,DecoratedTechA,DecoratedTechEleA,DecoratedTechPosA,DecoratedTechEncA,DecoratedTechB,DecoratedTechEleB,DecoratedTechPosB,DecoratedTechEncB,DecoratedTechC,DecoratedTechEleC,DecoratedTechPosC,DecoratedTechEncC,DecoratedMotif,DecoratedMotifPos,DecoratedMotifGroup,DecoratedMotifsEncr,DecoratedPatternGroup,DecoratedPatternGroupPos,DecoratedPatternGroupEnc,Firing,Firing_general,Inclusions,InclusionsSorting,InclusionsSize,InclusionsVisible,SurfaceExterior,ColorExterior,SurfaceInterior,ColorInterior,SpecialistTextile,SpecialistTextileType,Forming,FiringSecondary
3897,CZE_SF_674,88,16,selected finds,"CZE: HAIV, Ar 21CD",body,1,3,1x1cm < x ≤ 2x2 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,6,,,,,,,,,,,,,1,TC001,E138,9,0,NA,NA,NA,NA,NA,NA,NA,NA,Su005,9,MG015,0,0,0,0,F001,oxidized,I004,G002,SZ002,0,EST024,EC001,IST002,IC001,1,type 1,,
3511,CZE_SF_288,447,16,matching sherds,"CZE: HAIII, 44A, 471",body,2,17,5x5cm < x ≤ 6x6 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,9,,,,,,,,,,,,,1,TC005,E501,9,0,NA,NA,NA,NA,NA,NA,NA,NA,Su044,9,MG015,0,0,0,0,F001,oxidized,I002; I004,G002,SZ002,0,EST001,EC007,IST023,IC007,0,NA,,SF001
3245,CZE_SF_023,211,16,selected finds,"CZE: HAIV, Ar 31AB, WN I/II",body,1,5,3x3cm < x ≤ 4x4 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,1,EST002,EC007,IST002,IC007,0,NA,,
3414,CZE_SF_191,553,16,selected finds,"CZE: HAXIII, 20CD",rim,1,5,2x2cm < x ≤ 3x3 cm,,,,,LP002,RM001,NA,NA,NA,NA,NA,NA,NA,5,5,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G003,SZ001,0,EST003,EC016,IST003,IC016,0,NA,,
3455,CZE_SF_232,178,16,selected finds,"CZE: HAIII, Ar 69CD",rim,1,4,2x2cm < x ≤ 3x3 cm,1,3,CI,,LP003,RM008,NA,NA,NA,NA,NA,NA,NA,4,4,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST001,EC002,IST001,IC002,0,NA,,SF001
3532,CZE_SF_309,444,16,selected finds,"CZE: HAIII, 14AB",rim,1,8,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM002,NA,NA,NA,NA,NA,NA,NA,6,6,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC015,IST002,IC015,0,NA,,
3608,CZE_SF_385,264,16,selected finds,"CZE: HAVII, Ar 6AB",rim,1,1,1x1cm < x ≤ 2x2 cm,,,,,LP003,RM002,NA,NA,NA,NA,NA,NA,NA,5,4,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST001,EC015,IST001,IC015,0,NA,,
3650,CZE_SF_427,203,16,selected finds,"CZE: HAIII, Ar 55D-56CD-66B",rim,1,1,2x2cm < x ≤ 3x3 cm,,,,,LP003,RM008,NA,NA,NA,NA,NA,NA,NA,4,4,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G003,SZ001,0,EST003,EC015,IST003,IC015,0,NA,,
3675,CZE_SF_452,495,16,selected finds,"CZE: HAIV, 5CD",rim,1,5,2x2cm < x ≤ 3x3 cm,,,,,LP041,RM001,NA,NA,NA,NA,NA,NA,NA,5,5,,,,,,,140,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,0,EST002,EC002,IST002,IC002,0,NA,,
3677,CZE_SF_454,495,16,selected finds,"CZE: HAIV, 5CD",rim,1,6,2x2cm < x ≤ 3x3 cm,,,,,LP002,RM001,NA,NA,NA,NA,NA,NA,NA,6,6,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F002,reduced,I004,G002,SZ002,1,EST001,EC016,IST001,IC016,0,NA,,
